,Date,AirTmp_35d,WtrTemp_35d,Mo,Yr
491,5/6/1983,14.32315177,15.30050764,5,1983
492,5/7/1983,14.50886606,15.4645305,5,1983
493,5/8/1983,14.67458034,15.61088936,5,1983
494,5/9/1983,14.7117232,15.64369393,5,1983
495,5/10/1983,14.74886606,15.6764985,5,1983
496,5/11/1983,14.78600891,15.70930307,5,1983
497,5/12/1983,14.84315177,15.75977164,5,1983
498,5/13/1983,14.86315177,15.77743564,5,1983
499,5/14/1983,14.9317232,15.83799793,5,1983
500,5/15/1983,15.11743748,16.00202079,5,1983
501,5/16/1983,15.36315177,16.21903564,5,1983
502,5/17/1983,15.44600891,16.29221507,5,1983
503,5/18/1983,15.48315177,16.32501964,5,1983
504,5/19/1983,15.52600891,16.36287107,5,1983
505,5/20/1983,15.68886606,16.5067065,5,1983
506,5/21/1983,16.02029463,16.79942421,5,1983
507,5/22/1983,16.35458034,17.09466536,5,1983
508,5/23/1983,16.88600891,17.56402307,5,1983
509,5/24/1983,17.34165377,17.96644861,5,1983
510,5/25/1983,17.64571429,18.23499486,5,1983
511,5/26/1983,17.80857143,18.37883029,5,1983
512,5/27/1983,17.90285714,18.46210343,5,1983
513,5/28/1983,18.04285714,18.58575143,5,1983
514,5/29/1983,18.20285714,18.72706343,5,1983
515,5/30/1983,18.49714286,18.98697657,5,1983
516,5/31/1983,18.72857143,19.19137429,5,1983
517,6/1/1983,18.67142857,19.14090571,6,1983
518,6/2/1983,18.54285714,19.02735143,6,1983
519,6/3/1983,18.54571429,19.02987486,6,1983
520,6/4/1983,18.62285714,19.09800743,6,1983
521,6/5/1983,18.65142857,19.12324171,6,1983
522,6/6/1983,18.68285714,19.15099943,6,1983
523,6/7/1983,18.66571429,19.13585886,6,1983
524,6/8/1983,18.77428571,19.23174914,6,1983
525,6/9/1983,18.92,19.360444,6,1983
526,6/10/1983,19.02571429,19.45381086,6,1983
527,6/11/1983,19.07714286,19.49923257,6,1983
528,6/12/1983,19.16285714,19.57493543,6,1983
529,6/13/1983,19.42285714,19.80456743,6,1983
530,6/14/1983,19.71142857,20.05943371,6,1983
531,6/15/1983,19.89714286,20.22345657,6,1983
532,6/16/1983,20.05714286,20.36476857,6,1983
533,6/17/1983,20.23142857,20.51869771,6,1983
534,6/18/1983,20.35142857,20.62468171,6,1983
535,6/19/1983,20.37142857,20.64234571,6,1983
536,6/20/1983,20.47428571,20.73318914,6,1983
537,6/21/1983,20.77428571,20.99814914,6,1983
538,6/22/1983,20.98285714,21.18235943,6,1983
539,6/23/1983,21.14857143,21.32871829,6,1983
540,6/24/1983,21.22857143,21.39937429,6,1983
541,6/25/1983,21.33142857,21.49021771,6,1983
542,6/26/1983,21.41714286,21.56592057,6,1983
543,6/27/1983,21.49714286,21.63657657,6,1983
544,6/28/1983,21.69714286,21.81321657,6,1983
545,6/29/1983,21.86285714,21.95957543,6,1983
