cale_date,sePmo,seNmo,segm
2007-05-15,100,980.000025,Segment 1
2007-05-15,50,665.0000299999999,Segment 2
2007-05-15,40,719.9999899999999,Segment 3
2007-05-15,50,880,Segment 4
2007-06-15,105,1155.000035,Segment 1
2007-06-15,40,675.0000200000001,Segment 2
2007-06-15,30,644.9999899999999,Segment 3
2007-06-15,60,870.00002,Segment 4
2007-07-15,125,1255,Segment 1
2007-07-15,50,784.99997,Segment 2
2007-07-15,30,605.00002,Segment 3
2007-07-15,60,704.99999,Segment 4
2007-08-15,140.000005,1354.999965,Segment 1
2007-08-15,50,865.0000100000001,Segment 2
2007-08-15,30,695,Segment 3
2007-08-15,50,675.0000200000001,Segment 4
2007-09-15,180,1734.999965,Segment 1
2007-09-15,60,834.9999799999999,Segment 2
2007-09-15,40,774.99998,Segment 3
2007-09-15,40,644.9999899999999,Segment 4
2007-10-15,165,1204.999985,Segment 1
2007-10-15,60,725.00003,Segment 2
2007-10-15,40,605.00002,Segment 3
2007-10-15,60,605.00002,Segment 4
2007-11-15,110,1490,Segment 1
2007-11-15,60,1049.99999,Segment 2
2007-11-15,50,1060.00003,Segment 3
2007-11-15,50,1620,Segment 4
2007-12-15,105,1484.9999950000001,Segment 1
2007-12-15,60,1069.99999,Segment 2
2007-12-15,60,1040.00002,Segment 3
2007-12-15,40,1519.99998,Segment 4
2008-01-15,120,1774.999945,Segment 1
2008-01-15,50,1299.99998,Segment 2
2008-01-15,70,1389.9999899999998,Segment 3
2008-01-15,90,1900.0000400000001,Segment 4
2008-02-15,110,1825.00005,Segment 1
2008-02-15,50,1209.99998,Segment 2
2008-02-15,50,1240,Segment 3
2008-02-15,70,1730.00002,Segment 4
2008-03-15,145,1520,Segment 1
2008-03-15,50,1090,Segment 2
2008-03-15,60,1289.99996,Segment 3
2008-03-15,110,1469.9999699999998,Segment 4
2008-04-15,125.000005,1330.00005,Segment 1
2008-04-15,60,1099.9999799999998,Segment 2
2008-04-15,80,1259.99999,Segment 3
2008-04-15,180.00000999999997,1470.00002,Segment 4
2008-05-15,130,1074.9999699999998,Segment 1
2008-05-15,80,1080,Segment 2
2008-05-15,40,900.00002,Segment 3
2008-05-15,60,1009.99997,Segment 4
2008-06-15,100,1005.0000050000001,Segment 1
2008-06-15,40,719.9999799999999,Segment 2
2008-06-15,30,670.0000299999999,Segment 3
2008-06-15,50,760.00003,Segment 4
2008-07-15,110,1160.000035,Segment 1
2008-07-15,40,740.00002,Segment 2
2008-07-15,NaN,NaN,Segment 3
2008-07-15,40,700,Segment 4
2008-08-15,125,1260,Segment 1
2008-08-15,50,820,Segment 2
2008-08-15,30,649.9999899999999,Segment 3
2008-08-15,40,630,Segment 4
2008-09-15,90,1085,Segment 1
2008-09-15,50,869.9999899999999,Segment 2
2008-09-15,50,930.0000200000001,Segment 3
2008-09-15,50,950.00003,Segment 4
2009-04-15,145.000005,1110.00002,Segment 1
2009-04-15,90,959.99999,Segment 2
2009-04-15,80,910,Segment 3
2009-04-15,90,1020.00001,Segment 4
2009-07-15,170.000005,1409.999975,Segment 1
2009-07-15,60,860.00002,Segment 2
2009-07-15,30,649.9999899999999,Segment 3
2009-07-15,40,700,Segment 4
2009-08-15,148.75000624999998,1472.4999925000002,Segment 1
2009-08-15,55,830.00002,Segment 2
2009-08-15,40,695,Segment 3
2009-08-15,52.5,825.0000125,Segment 4
2009-09-15,170.000005,1502.4999925000002,Segment 1
2009-09-15,55,944.9999925,Segment 2
2009-09-15,40,895.00002,Segment 3
2009-09-15,52.5,847.5000075,Segment 4
2009-10-15,165,1744.99998,Segment 1
2009-10-15,60,920,Segment 2
2009-10-15,50,920,Segment 3
2009-10-15,65,1359.99998,Segment 4
2009-11-15,115,1080.00001,Segment 1
2009-11-15,50,910,Segment 2
2009-11-15,40,1160.00001,Segment 3
2009-11-15,65,1629.9999950000001,Segment 4
2009-12-15,100,1044.999985,Segment 1
2009-12-15,60,1080.00001,Segment 2
2009-12-15,50,1179.99995,Segment 3
2009-12-15,140.000005,1189.9999825,Segment 4
2010-01-15,90,1440,Segment 1
2010-01-15,70,1090,Segment 2
2010-01-15,50,1140,Segment 3
2010-01-15,137.5,1352.5,Segment 4
2010-02-15,70,1060,Segment 1
2010-02-15,60,1190,Segment 2
2010-02-15,60,1070,Segment 3
2010-02-15,70,1040,Segment 4
2010-03-15,70,1430,Segment 1
2010-03-15,60,1040,Segment 2
2010-03-15,60,1020,Segment 3
